ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
702	"ENSG00000126581.12"	"BECN1"	chr17	-	42818543	42819609	42818543	42818680	42819547	42819609	702	129,165	4,0	189,256	0,0	942	75	0.0222438646528	0.0338745131663	0.72,1.0	1.0,1.0	-0.14
703	"ENSG00000126581.12"	"BECN1"	chr17	-	42818786	42819609	42818786	42818877	42819547	42819609	703	95,117	100,97	90,236	50,43	745	75	0.000127174785767	0.000256008045326	0.087,0.108	0.153,0.356	-0.157
705	"ENSG00000182484.15"	"WASH6P"	chrX	+	156021998	156022459	156021998	156022145	156022322	156022459	705	3,0	0,1	6,14	4,21	252	75	0.478989469534	0.598252386369	1.0,0.0	0.309,0.166	0.263
706	"ENSG00000182484.15"	"WASH6P"	chrX	+	156022313	156022834	156022313	156022459	156022698	156022834	706	10,20	2,0	130,136	4,0	314	75	0.733132673263	0.869820814182	0.544,1.0	0.886,1.0	-0.171
709	"ENSG00000147454.13"	"SLC25A37"	chr8	+	23566107	23568378	23566107	23566336	23568321	23568378	709	329,522	4,0	1113,1655	0,0	2060	75	0.0352305176758	0.0521092500118	0.75,1.0	1.0,1.0	-0.125
710	"ENSG00000147454.13"	"SLC25A37"	chr8	+	23566107	23568378	23566107	23566813	23568321	23568378	710	232,410	4,0	946,1283	0,0	1583	75	0.032867032345	0.0487408042985	0.733,1.0	1.0,1.0	-0.133
713	"ENSG00000164050.12"	"PLXNB1"	chr3	-	48410454	48411036	48410454	48410558	48410867	48411036	713	4,0	2,11	33,37	4,19	384	75	0.000238323630307	0.000466482448716	0.281,0.0	0.617,0.276	-0.306
714	"ENSG00000164050.12"	"PLXNB1"	chr3	-	48411862	48412304	48411862	48412009	48412237	48412304	714	6,0	1,12	46,18	12,0	303	75	0.00252764514883	0.00435951392861	0.598,0.0	0.487,1.0	-0.445
715	"ENSG00000164050.12"	"PLXNB1"	chr3	-	48413068	48413818	48413068	48413169	48413669	48413818	715	0,10	6,8	13,2	17,23	575	75	0.441506297595	0.55717405672	0.0,0.14	0.091,0.011	0.019
717	"ENSG00000137145.20"	"DENND4C"	chr9	+	19336269	19336832	19336269	19336414	19336685	19336832	717	5,0	13,14	0,0	15,14	346	75	0.251434662876	0.331214939925	0.077,0.0	0.0,0.0	0.038
719	"ENSG00000138002.14"	"IFT172"	chr2	-	27457840	27458223	27457840	27457976	27458125	27458223	719	8,7	30,25	28,46	13,4	224	75	2.58470351566e-07	6.65982787495e-07	0.082,0.086	0.419,0.794	-0.523
720	"ENSG00000138002.14"	"IFT172"	chr2	-	27476640	27477320	27476640	27476726	27477216	27477320	720	3,3	20,30	14,0	9,38	565	75	0.0563531587512	0.0809540300842	0.02,0.013	0.171,0.0	-0.069
721	"ENSG00000196182.10"	"STK40"	chr1	-	36339623	36343448	36339623	36341973	36343363	36343448	721	21,14	76,86	96,94	13,39	1465	75	0	0.0	0.014,0.008	0.274,0.11	-0.181
723	"ENSG00000176783.14"	"RUFY1"	chr5	+	179559691	179560198	179559691	179559835	179560024	179560198	723	61,73	2,10	84,27	0,6	264	75	0.47472630353	0.593801299001	0.897,0.675	1.0,0.561	0.006
724	"ENSG00000114859.15"	"CLCN2"	chr3	-	184354903	184355529	184354903	184354973	184355373	184355529	724	5,10	10,10	82,20	11,19	475	75	0.0150246549873	0.023405379971	0.073,0.136	0.541,0.143	-0.238
725	"ENSG00000114859.15"	"CLCN2"	chr3	-	184355693	184357094	184355693	184355778	184356992	184357094	725	7,6	13,4	18,85	4,24	1289	75	6.46933434606e-05	0.000134784413738	0.03,0.08	0.208,0.171	-0.135
728	"ENSG00000185024.16"	"BRF1"	chr14	-	105211121	105212164	105211121	105211293	105212112	105212164	728	27,5	61,39	38,117	22,32	894	75	1.16573417586e-14	5.2714157939e-14	0.036,0.011	0.127,0.235	-0.158
729	"ENSG00000185024.16"	"BRF1"	chr14	-	105219150	105220130	105219150	105219232	105220068	105220130	729	5,16	54,125	32,25	39,55	911	75	1.09327442654e-08	3.17873283607e-08	0.008,0.01	0.063,0.036	-0.041
732	"ENSG00000084774.13"	"CAD"	chr2	+	27233311	27233808	27233311	27233536	27233625	27233808	732	36,30	74,84	117,217	71,96	164	75	1.3211653993e-14	5.93475885717e-14	0.182,0.14	0.43,0.508	-0.308
733	"ENSG00000084774.13"	"CAD"	chr2	+	27242619	27242973	27242619	27242775	27242871	27242973	733	17,14	120,79	10,43	183,182	171	75	0.793884638545	0.931271928324	0.058,0.072	0.023,0.094	0.007
735	"ENSG00000133316.15"	"WDR74"	chr11	-	62833617	62833937	62833617	62833674	62833791	62833937	735	3,19	54,61	128,123	78,107	192	75	1.18793863635e-14	5.35045040987e-14	0.021,0.108	0.391,0.31	-0.286
736	"ENSG00000110025.12"	"SNX15"	chr11	+	65035519	65038829	65035519	65035663	65038571	65038829	736	8,7	31,73	83,32	10,4	2983	75	0	0.0	0.006,0.002	0.173,0.167	-0.166
738	"ENSG00000123473.15"	"STIL"	chr1	-	47299904	47300152	47299904	47299968	47300109	47300152	738	96,86	5,11	95,83	0,0	216	75	4.99568280632e-07	1.2511311807e-06	0.87,0.731	1.0,1.0	-0.2
739	"ENSG00000157796.17"	"WDR19"	chr4	+	39272979	39274958	39272979	39273061	39274807	39274958	739	70,70	26,14	495,640	33,0	1821	75	2.64082135029e-05	5.78222392365e-05	0.1,0.171	0.382,1.0	-0.556
744	"ENSG00000068650.18"	"ATP11A"	chr13	+	112857817	112859452	112857817	112857920	112859392	112859452	744	12,17	0,0	46,44	8,0	1547	75	0.000594481442275	0.00110079551688	1.0,1.0	0.218,1.0	0.391
747	"ENSG00000160753.15"	"RUSC1"	chr1	+	155325101	155325490	155325101	155325178	155325315	155325490	747	27,34	121,121	25,68	37,29	212	75	9.6132287366e-06	2.17498499597e-05	0.073,0.09	0.193,0.453	-0.242
748	"ENSG00000160753.15"	"RUSC1"	chr1	+	155325863	155327132	155325863	155325910	155326579	155327132	748	36,22	91,111	62,78	78,98	744	75	7.78609646201e-07	1.91328390629e-06	0.038,0.02	0.074,0.074	-0.045
750	"ENSG00000160753.15"	"RUSC1"	chr1	+	155325863	155327132	155325863	155325910	155326897	155327132	750	814,748	3,2	540,590	0,1	1062	75	0.102300515056	0.142968127214	0.95,0.964	1.0,0.977	-0.031
751	"ENSG00000147180.16"	"ZNF711"	chrX	+	85246929	85247651	85246929	85247183	85247546	85247651	751	14,5	6,9	116,229	7,0	438	75	1.84135817705e-10	6.03595788539e-10	0.285,0.087	0.739,1.0	-0.683
752	"ENSG00000205593.11"	"DENND6B"	chr22	-	50313813	50314272	50313813	50313878	50314206	50314272	752	2,2	1,0	31,34	3,0	403	75	0.183400785469	0.246567326783	0.271,1.0	0.658,1.0	-0.194
754	"ENSG00000099875.14"	"MKNK2"	chr19	-	2042606	2042870	2042606	2042662	2042765	2042870	754	8,10	80,98	38,95	50,55	178	75	2.87547763378e-14	1.26491218191e-13	0.04,0.041	0.243,0.421	-0.291
755	"ENSG00000188827.10"	"SLX4"	chr16	-	3600978	3602307	3600978	3601191	3602117	3602307	755	21,27	6,6	101,98	0,2	1001	75	3.76082242015e-08	1.04151460878e-07	0.208,0.252	1.0,0.786	-0.663
757	"ENSG00000187860.10"	"CCDC157"	chr22	+	30370325	30371727	30370325	30370950	30371649	30371727	757	10,22	0,5	58,127	0,0	774	75	0.000803770132514	0.00146359430028	1.0,0.299	1.0,1.0	-0.351
758	"ENSG00000128159.11"	"TUBGCP6"	chr22	-	50217917	50218402	50217917	50218117	50218188	50218402	758	10,9	12,5	89,162	50,50	146	75	0.0739180621235	0.104943870807	0.3,0.48	0.478,0.625	-0.161
759	"ENSG00000128159.11"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219643	50219791	759	42,11	26,23	58,97	69,79	262	75	0.773865427836	0.910303773097	0.316,0.12	0.194,0.26	-0.009
760	"ENSG00000128159.11"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220191	50221874	760	80,46	0,3	500,307	0,0	251	75	0.351439783586	0.452593668964	1.0,0.821	1.0,1.0	-0.09
761	"ENSG00000128159.11"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220250	50221874	761	97,55	19,23	606,364	8,12	310	75	4.57411886146e-14	1.99150098122e-13	0.553,0.367	0.948,0.88	-0.454
764	"ENSG00000161217.11"	"PCYT1A"	chr3	-	196247366	196248323	196247366	196247518	196248206	196248323	764	7,0	61,68	48,51	8,10	763	75	0	0.0	0.011,0.0	0.371,0.334	-0.347
767	"ENSG00000179029.14"	"TMEM107"	chr17	-	8175756	8176026	8175756	8175857	8175958	8176026	767	7,5	13,18	6,15	0,0	176	75	9.50350909079e-13	3.71819318806e-12	0.187,0.106	1.0,1.0	-0.854
768	"ENSG00000179029.14"	"TMEM107"	chr17	-	8175756	8176026	8175756	8175875	8175958	8176026	768	3,5	6,1	6,15	0,0	158	75	1.34876932123e-06	3.26162359058e-06	0.192,0.704	1.0,1.0	-0.552
769	"ENSG00000114735.9"	"HEMK1"	chr3	+	50579843	50580229	50579843	50579939	50580115	50580229	769	3,1	35,14	24,18	0,23	251	75	2.72472147684e-05	5.9620838501e-05	0.025,0.021	1.0,0.19	-0.572
770	"ENSG00000283189.2"	"RP11-949J7.8"	chr3	-	49419259	49420342	49419259	49419405	49419709	49420342	770	0,0	1,0	43,16	11,9	379	75	1	1.0	0.0,NA	0.436,0.26	-0.348
771	"ENSG00000283189.2"	"RP11-949J7.8"	chr3	-	49419709	49420342	49419709	49419788	49420210	49420342	771	0,0	4,0	24,112	14,26	497	75	1	1.0	0.0,NA	0.206,0.394	-0.3
777	"ENSG00000187514.16"	"PTMA"	chr2	+	231711347	231711983	231711347	231711419	231711886	231711983	777	94,54	385,569	871,672	266,244	542	75	0	0.0	0.033,0.013	0.312,0.276	-0.271
778	"ENSG00000187514.16"	"PTMA"	chr2	+	231711347	231711983	231711347	231711419	231711889	231711983	778	111,72	1324,1570	882,672	901,774	545	75	0	0.0	0.011,0.006	0.119,0.107	-0.104
779	"ENSG00000167393.17"	"PPP2R3B"	chrX	-	341306	341931	341306	341396	341882	341931	779	1,10	35,33	4,35	36,27	561	75	0.000886187351645	0.0016009232865	0.004,0.039	0.015,0.148	-0.06
781	"ENSG00000152556.15"	"PFKM"	chr12	+	48134942	48135383	48134942	48135038	48135290	48135383	781	34,20	109,144	120,69	40,64	327	75	3.78896913844e-12	1.42495450655e-11	0.067,0.031	0.408,0.198	-0.254
782	"ENSG00000152556.15"	"PFKM"	chr12	+	48141739	48142066	48141739	48141827	48141913	48142066	782	8,8	113,87	20,29	51,52	161	75	3.75782505113e-09	1.1223899625e-08	0.032,0.041	0.154,0.206	-0.143
783	"ENSG00000087460.24"	"GNAS"	chr20	+	58909349	58909579	58909349	58909423	58909520	58909579	783	0,2	2022,2189	77,53	1031,1184	172	75	7.50854933784e-11	2.54227652555e-10	0.0,0.0	0.032,0.019	-0.026
784	"ENSG00000062524.15"	"LTK"	chr15	-	41504341	41504640	41504341	41504432	41504505	41504640	784	0,0	14,10	6,0	3,11	148	75	0.00576971671687	0.00943832272182	0.0,0.0	0.503,0.0	-0.252
786	"ENSG00000062524.15"	"LTK"	chr15	-	41507094	41507657	41507094	41507174	41507561	41507657	786	10,12	0,1	47,48	0,0	462	75	1	1.0	1.0,0.661	1.0,1.0	-0.169
787	"ENSG00000062524.15"	"LTK"	chr15	-	41507094	41507657	41507094	41507290	41507561	41507657	787	5,4	2,0	26,48	9,0	346	75	0.899225743	1.0	0.351,1.0	0.385,1.0	-0.017
793	"ENSG00000162004.16"	"CCDC78"	chr16	-	722921	723161	722921	723022	723094	723161	793	12,10	3,3	179,172	11,6	147	75	0.0168368909597	0.0259782288501	0.671,0.63	0.893,0.936	-0.264
794	"ENSG00000162004.16"	"CCDC78"	chr16	-	722921	723936	722921	723161	723856	723936	794	32,17	7,6	376,295	10,5	770	75	2.74554303736e-08	7.73123064252e-08	0.308,0.216	0.786,0.852	-0.557
795	"ENSG00000162004.16"	"CCDC78"	chr16	-	724321	724806	724321	724509	724680	724806	795	16,2	0,0	151,92	2,0	246	75	0.451915321084	0.567872971725	1.0,1.0	0.958,1.0	0.021
797	"ENSG00000162004.16"	"CCDC78"	chr16	-	725077	725293	725077	725145	725236	725293	797	6,17	3,0	151,113	13,3	166	75	0.985741608652	1.0	0.475,1.0	0.84,0.945	-0.155
799	"ENSG00000164116.16"	"GUCY1A3"	chr4	+	155696755	155697122	155696755	155696849	155696934	155697122	799	25,12	7,0	36,31	0,0	160	75	0.000189376829482	0.00037609573855	0.626,1.0	1.0,1.0	-0.187
801	"ENSG00000158106.13"	"RHPN1"	chr8	+	143379828	143380175	143379828	143379985	143380061	143380175	801	6,11	7,0	103,84	8,40	151	75	0.953352274476	1.0	0.299,1.0	0.865,0.511	-0.038
802	"ENSG00000010256.10"	"UQCRC1"	chr3	-	48600679	48601118	48600679	48600840	48600974	48601118	802	26,41	476,544	80,77	335,140	209	75	0	0.0	0.019,0.026	0.079,0.165	-0.1
803	"ENSG00000103034.14"	"NDRG4"	chr16	+	58503797	58504274	58503797	58503903	58504153	58504274	803	3,13	26,37	24,26	4,0	325	75	1.19368170903e-09	3.71903035217e-09	0.026,0.075	0.581,1.0	-0.74
805	"ENSG00000103034.14"	"NDRG4"	chr16	+	58507807	58507999	58507807	58507864	58507947	58507999	805	4,0	13,24	5,12	14,0	158	75	0.00172596917845	0.0030166707823	0.127,0.0	0.145,1.0	-0.509
806	"ENSG00000103034.14"	"NDRG4"	chr16	+	58508961	58509189	58508961	58509009	58509153	58509189	806	4,4	9,8	47,46	9,3	219	75	3.23231761357e-08	9.01227472552e-08	0.132,0.146	0.641,0.84	-0.601
807	"ENSG00000095906.16"	"NUBP2"	chr16	+	1786536	1786955	1786536	1786655	1786737	1786955	807	11,13	1,0	157,81	0,0	157	75	1	1.0	0.84,1.0	1.0,1.0	-0.08
808	"ENSG00000095906.16"	"NUBP2"	chr16	+	1786536	1786955	1786536	1786655	1786756	1786955	808	11,14	44,74	170,82	46,22	176	75	0	0.0	0.096,0.075	0.612,0.614	-0.527
809	"ENSG00000095906.16"	"NUBP2"	chr16	+	1786536	1787831	1786536	1786655	1787676	1787831	809	216,177	46,83	1294,1043	9,53	1096	75	1.82433179674e-10	5.98592346061e-10	0.243,0.127	0.908,0.574	-0.556
810	"ENSG00000095906.16"	"NUBP2"	chr16	+	1786536	1787831	1786536	1786955	1787676	1787831	810	41,21	94,102	930,832	57,63	796	75	0	0.0	0.039,0.019	0.606,0.554	-0.551
811	"ENSG00000095906.16"	"NUBP2"	chr16	+	1787940	1788207	1787940	1788051	1788137	1788207	811	18,25	124,109	28,37	205,160	161	75	0.951391530825	1.0	0.063,0.097	0.06,0.097	0.002
812	"ENSG00000095906.16"	"NUBP2"	chr16	+	1787940	1788207	1787940	1788051	1788160	1788207	812	59,77	0,1	91,72	0,0	184	75	1	1.0	1.0,0.969	1.0,1.0	-0.016
816	"ENSG00000135476.11"	"ESPL1"	chr12	+	53288537	53289303	53288537	53288699	53289089	53289303	816	7,17	78,95	72,5	33,46	465	75	5.39325316369e-05	0.000113831496233	0.014,0.028	0.26,0.017	-0.118
817	"ENSG00000135476.11"	"ESPL1"	chr12	+	53289403	53290469	53289403	53289594	53290346	53290469	817	198,189	1,0	397,436	0,0	827	75	1	1.0	0.947,1.0	1.0,1.0	-0.026
820	"ENSG00000067064.10"	"IDI1"	chr10	-	1043300	1044171	1043300	1043393	1043998	1044171	820	39,31	58,48	401,478	87,114	680	75	0	0.0	0.069,0.066	0.337,0.316	-0.259
824	"ENSG00000100906.10"	"NFKBIA"	chr14	-	35402393	35402859	35402393	35402663	35402770	35402859	824	2,0	37,25	12,15	0,19	182	75	1.50024251444e-06	3.61335005606e-06	0.022,0.0	1.0,0.245	-0.612
829	"ENSG00000168268.10"	"NT5DC2"	chr3	-	52527616	52527931	52527616	52527718	52527828	52527931	829	35,33	621,753	207,227	470,355	185	75	0	0.0	0.022,0.017	0.152,0.206	-0.16
832	"ENSG00000242086.8"	"LINC00969"	chr3	+	195708133	195708807	195708133	195708268	195708746	195708807	832	0,3	0,2	31,0	0,0	553	75	1	1.0	NA,0.169	1.0,NA	-0.831
837	"ENSG00000159363.17"	"ATP13A2"	chr1	-	16986462	16986956	16986462	16986632	16986804	16986956	837	7,7	31,38	21,38	24,43	247	75	5.31212626975e-06	1.2280449838e-05	0.064,0.053	0.21,0.212	-0.152
838	"ENSG00000087077.13"	"TRIP6"	chr7	+	100870369	100870743	100870369	100870463	100870573	100870743	838	9,19	119,158	63,44	79,103	185	75	1.17028609026e-12	4.55767381023e-12	0.03,0.046	0.244,0.148	-0.158
840	"ENSG00000099331.13"	"MYO9B"	chr19	+	17202841	17203258	17202841	17202883	17203146	17203258	840	5,0	50,60	15,45	4,26	338	75	0	0.0	0.022,0.0	0.454,0.277	-0.355
841	"ENSG00000099331.13"	"MYO9B"	chr19	+	17211650	17213284	17211650	17211774	17211894	17213284	841	51,35	1,0	52,38	0,0	195	75	1	1.0	0.951,1.0	1.0,1.0	-0.024
842	"ENSG00000128596.16"	"CCDC136"	chr7	+	128806236	128806858	128806236	128806395	128806687	128806858	842	7,6	13,3	6,0	10,10	367	75	0.0586221763238	0.0840358424633	0.099,0.29	0.109,0.0	0.14
844	"ENSG00000099849.14"	"RASSF7"	chr11	+	563188	563478	563188	563317	563395	563478	844	86,92	1,0	78,50	0,9	153	75	0.000714820866994	0.00131288894771	0.977,1.0	1.0,0.731	0.123
848	"ENSG00000187091.13"	"PLCD1"	chr3	-	38008457	38009158	38008457	38008636	38009041	38009158	848	7,7	5,6	7,27	0,0	480	75	3.22237569961e-10	1.0441973164e-09	0.179,0.154	1.0,1.0	-0.834
850	"ENSG00000187091.13"	"PLCD1"	chr3	-	38009903	38010275	38009903	38010053	38010130	38010275	850	3,0	4,0	23,3	0,7	152	75	1	1.0	0.27,NA	1.0,0.175	-0.318
851	"ENSG00000115234.10"	"SNX17"	chr2	+	27374084	27374433	27374084	27374175	27374345	27374433	851	6,7	196,280	25,5	126,180	245	75	0.000278035924205	0.000540165903089	0.009,0.008	0.057,0.008	-0.024
852	"ENSG00000115234.10"	"SNX17"	chr2	+	27374688	27375153	27374688	27374758	27375060	27375153	852	21,14	221,220	45,62	111,90	377	75	0	0.0	0.019,0.013	0.075,0.121	-0.082
853	"ENSG00000189171.14"	"S100A13"	chr1	-	153626319	153627598	153626319	153626533	153627482	153627598	853	31,53	72,60	813,534	72,43	1024	75	0	0.0	0.031,0.061	0.453,0.476	-0.419
854	"ENSG00000065717.14"	"TLE2"	chr19	-	3019282	3019773	3019282	3019463	3019698	3019773	854	1,2	1,0	0,18	0,0	310	75	1	1.0	0.195,1.0	NA,1.0	-0.402
855	"ENSG00000065717.14"	"TLE2"	chr19	-	3019282	3019773	3019282	3019466	3019698	3019773	855	1,2	0,1	0,18	0,0	307	75	1	1.0	1.0,0.328	NA,1.0	-0.336
856	"ENSG00000141698.16"	"NT5C3B"	chr17	-	41835587	41835957	41835587	41835682	41835858	41835957	856	5,19	6,6	31,32	6,0	251	75	0.00543538631621	0.00893012671981	0.199,0.486	0.607,1.0	-0.461
857	"ENSG00000164889.13"	"SLC4A2"	chr7	+	151074038	151074841	151074038	151074293	151074674	151074841	857	116,155	5,0	364,326	0,0	456	75	0.012155217194	0.0191728367816	0.792,1.0	1.0,1.0	-0.104
858	"ENSG00000173145.11"	"NOC3L"	chr10	-	94357173	94358215	94357173	94357331	94358082	94358215	858	4,2	32,50	105,172	46,33	826	75	0	0.0	0.011,0.004	0.172,0.321	-0.239
860	"ENSG00000115282.19"	"TTC31"	chr2	+	74490024	74490473	74490024	74490127	74490243	74490473	860	13,4	29,21	25,17	11,0	191	75	4.99224987044e-05	0.00010589431955	0.15,0.07	0.472,1.0	-0.626
861	"ENSG00000115282.19"	"TTC31"	chr2	+	74490243	74491184	74490243	74490473	74490655	74491184	861	0,16	34,43	11,64	42,73	257	75	0.00143872569181	0.00253287322415	0.0,0.098	0.071,0.204	-0.088
862	"ENSG00000115282.19"	"TTC31"	chr2	+	74490655	74491184	74490655	74490739	74491127	74491184	862	8,17	25,26	42,29	37,60	463	75	0.129015712595	0.177527293344	0.049,0.096	0.155,0.073	-0.041
863	"ENSG00000115282.19"	"TTC31"	chr2	+	74492003	74494559	74492003	74492055	74492138	74494559	863	1,2	15,25	9,36	37,33	158	75	5.87265469749e-05	0.000123108242918	0.031,0.037	0.104,0.341	-0.189
864	"ENSG00000115282.19"	"TTC31"	chr2	+	74492138	74492445	74492138	74492229	74492303	74492445	864	17,6	21,32	67,100	20,16	149	75	1.18039733543e-09	3.6810186879e-09	0.29,0.086	0.628,0.759	-0.506
865	"ENSG00000170421.12"	"KRT8"	chr12	-	52900587	52901219	52900587	52900683	52901158	52901219	865	1,0	11,32	1,0	18,6	550	75	1	1.0	0.012,0.0	0.008,0.0	0.002
866	"ENSG00000170421.12"	"KRT8"	chr12	-	52900587	52902072	52900587	52901219	52901863	52902072	866	1,0	5,2	0,0	0,10	719	75	1	1.0	0.02,0.0	NA,0.0	0.01
868	"ENSG00000196712.17"	"NF1"	chr17	+	31229024	31229974	31229024	31229465	31229834	31229974	868	5,0	26,8	0,0	3,0	444	75	1	1.0	0.031,0.0	0.0,NA	0.015
872	"ENSG00000168010.10"	"ATG16L2"	chr11	+	72822477	72824842	72822477	72822543	72822847	72824842	872	6,0	19,4	29,78	9,3	379	75	1.30977418134e-07	3.461473245e-07	0.059,0.0	0.389,0.837	-0.584
874	"ENSG00000168010.10"	"ATG16L2"	chr11	+	72828358	72828776	72828358	72828508	72828728	72828776	874	9,3	11,7	26,0	13,17	295	75	0.857169978472	0.993498036482	0.172,0.098	0.337,0.0	-0.034
875	"ENSG00000172269.18"	"DPAGT1"	chr11	-	119101017	119101860	119101017	119101138	119101494	119101860	875	17,15	56,54	107,99	26,51	431	75	3.64153152077e-14	1.59158829402e-13	0.05,0.046	0.417,0.252	-0.287
876	"ENSG00000121716.20"	"PILRB"	chr7	+	100352563	100353123	100352563	100352914	100352996	100353123	876	17,5	14,13	86,111	50,44	157	75	0.00951780634395	0.0152177355669	0.367,0.155	0.451,0.547	-0.238
878	"ENSG00000196118.11"	"CCDC189"	chr16	-	30759011	30759247	30759011	30759101	30759177	30759247	878	1,0	2,2	1,6	0,0	151	75	5.14491305115e-09	1.52594975735e-08	0.199,0.0	1.0,1.0	-0.9
879	"ENSG00000196118.11"	"CCDC189"	chr16	-	30759341	30759724	30759341	30759458	30759653	30759724	879	13,7	3,2	101,105	0,0	270	75	3.53720116852e-06	8.27865966113e-06	0.546,0.493	1.0,1.0	-0.48
881	"ENSG00000196118.11"	"CCDC189"	chr16	-	30760283	30760668	30760283	30760453	30760605	30760668	881	52,56	19,7	103,126	1,8	227	75	0.000169894104189	0.000339188934642	0.475,0.726	0.971,0.839	-0.304
882	"ENSG00000185684.12"	"EP400NL"	chr12	+	132103996	132105304	132103996	132104170	132104374	132105304	882	9,2	1,9	18,4	0,0	279	75	2.55567273899e-07	6.59002628824e-07	0.708,0.056	1.0,1.0	-0.618
883	"ENSG00000185684.12"	"EP400NL"	chr12	+	132103996	132105304	132103996	132104170	132104377	132105304	883	10,2	4,1	18,4	24,0	282	75	0.791711342609	0.929043441431	0.399,0.347	0.166,1.0	-0.21
884	"ENSG00000185684.12"	"EP400NL"	chr12	+	132103996	132105304	132103996	132104170	132104566	132105304	884	21,13	1,2	53,11	5,0	471	75	0.773292807482	0.909945382609	0.77,0.509	0.628,1.0	-0.175
885	"ENSG00000161395.13"	"PGAP3"	chr17	-	39673513	39674054	39673513	39673650	39673992	39674054	885	21,10	4,0	79,39	7,0	417	75	0.662507944481	0.797263281168	0.486,1.0	0.67,1.0	-0.092
887	"ENSG00000100823.11"	"APEX1"	chr14	+	20455225	20455703	20455225	20455389	20455577	20455703	887	108,129	3,0	185,275	0,10	263	75	0.160015840903	0.217539549923	0.911,1.0	1.0,0.887	0.012
888	"ENSG00000100823.11"	"APEX1"	chr14	+	20455577	20456101	20455577	20455703	20455913	20456101	888	50,51	319,280	175,237	195,203	285	75	0	0.0	0.04,0.046	0.191,0.235	-0.17
889	"ENSG00000100823.11"	"APEX1"	chr14	+	20455577	20456101	20455577	20455773	20455913	20456101	889	27,32	1,0	103,154	0,0	215	75	1	1.0	0.904,1.0	1.0,1.0	-0.048
892	"ENSG00000103253.17"	"HAGHL"	chr16	+	728115	728424	728115	728233	728315	728424	892	1,0	0,0	5,0	3,0	157	75	1	1.0	1.0,NA	0.443,NA	0.557
893	"ENSG00000103253.17"	"HAGHL"	chr16	+	728315	728604	728315	728424	728503	728604	893	0,0	0,1	2,1	3,1	154	75	1	1.0	NA,0.0	0.245,0.328	-0.286
894	"ENSG00000103253.17"	"HAGHL"	chr16	+	728793	729715	728793	728895	729287	729715	894	21,2	0,1	127,205	0,0	467	75	1	1.0	1.0,0.243	1.0,1.0	-0.379
895	"ENSG00000103253.17"	"HAGHL"	chr16	+	729008	729715	729008	729088	729287	729715	895	16,2	3,2	105,161	29,13	274	75	0.314202083544	0.40710807925	0.593,0.215	0.498,0.772	-0.231
896	"ENSG00000213672.7"	"NCKIPSD"	chr3	-	48678876	48679183	48678876	48678969	48679054	48679183	896	7,1	73,56	39,40	83,64	160	75	1.471400779e-11	5.24882042593e-11	0.043,0.008	0.18,0.227	-0.178
900	"ENSG00000006712.14"	"PAF1"	chr19	-	39389479	39389761	39389479	39389546	39389639	39389761	900	1,6	179,190	15,19	89,102	168	75	1.83951076593e-09	5.63806729341e-09	0.002,0.014	0.07,0.077	-0.066
901	"ENSG00000006712.14"	"PAF1"	chr19	-	39390068	39390289	39390068	39390161	39390259	39390289	901	3,15	100,117	28,11	60,76	173	75	0.00011974750642	0.000241917032601	0.013,0.053	0.168,0.059	-0.081
902	"ENSG00000163743.13"	"RCHY1"	chr4	-	75490580	75491782	75490580	75490701	75491723	75491782	902	0,0	3,5	46,28	0,0	1097	75	0	0.0	0.0,0.0	1.0,1.0	-1.0
903	"ENSG00000105202.8"	"FBL"	chr19	-	39834457	39834813	39834457	39834562	39834667	39834813	903	80,87	487,692	72,84	624,486	180	75	0.955352392299	1.0	0.064,0.05	0.046,0.067	0.001
905	"ENSG00000117410.13"	"ATP6V0B"	chr1	+	43976301	43976659	43976301	43976379	43976589	43976659	905	7,9	325,302	66,94	204,151	285	75	0	0.0	0.006,0.008	0.078,0.141	-0.102
906	"ENSG00000117410.13"	"ATP6V0B"	chr1	+	43977025	43978295	43977025	43977216	43977980	43978295	906	116,109	359,292	230,298	194,172	839	75	0	0.0	0.028,0.032	0.096,0.134	-0.085
908	"ENSG00000185246.17"	"PRPF39"	chr14	+	45096102	45097005	45096102	45096228	45096886	45097005	908	63,32	30,38	353,476	9,25	733	75	0	0.0	0.177,0.079	0.801,0.661	-0.603
909	"ENSG00000132275.10"	"RRP8"	chr11	-	6600925	6601602	6600925	6601055	6601148	6601602	909	3,13	29,44	21,0	3,13	168	75	0.392069900602	0.500552399415	0.044,0.117	0.758,0.0	-0.298
910	"ENSG00000173137.11"	"ADCK5"	chr8	+	144391579	144391866	144391579	144391711	144391782	144391866	910	1,0	2,0	35,26	0,3	146	75	1	1.0	0.204,NA	1.0,0.817	-0.705
